t	uav	67482	2.1	501	8.1.1.8
t	uav	67483	2.1	501	8.1.1.9
t	uav	67484	2.1	501	8.1.1.10
r	UAV	67475	2.11251	501	8.1.1.1	30
r	UAV	67478	2.11364	501	8.1.1.4	33
r	UAV	67480	2.11476	501	8.1.1.6	35
r	UAV	67482	2.11586	501	8.1.1.8	37
r	UAV	67484	2.11699	501	8.1.1.10	39
t	lte	80321	2.5	500	7.0.0.2
t	lte	80322	2.5	500	7.0.0.3
t	lte	80323	2.5	500	7.0.0.4
t	lte	80324	2.5	500	7.0.0.5
t	lte	80325	2.5	500	7.0.0.6
t	lte	80326	2.5	500	7.0.0.7
t	lte	80327	2.5	500	7.0.0.8
t	lte	80328	2.5	500	7.0.0.9
t	lte	80329	2.5	500	7.0.0.10
t	lte	80330	2.5	500	7.0.0.11
r	LTE	80330	2.514	500	7.0.0.11	39
r	LTE	80329	2.515	500	7.0.0.10	38
t	uav	83539	2.6	501	8.1.1.1
t	uav	83540	2.6	501	8.1.1.2
t	uav	83541	2.6	501	8.1.1.3
t	uav	83542	2.6	501	8.1.1.4
t	uav	83543	2.6	501	8.1.1.5
t	uav	83544	2.6	501	8.1.1.6
t	uav	83545	2.6	501	8.1.1.7
t	uav	83546	2.6	501	8.1.1.8
t	uav	83547	2.6	501	8.1.1.9
t	uav	83548	2.6	501	8.1.1.10
r	UAV	83539	2.6108	501	8.1.1.1	30
r	UAV	83542	2.61182	501	8.1.1.4	33
r	UAV	83544	2.61284	501	8.1.1.6	35
r	UAV	83546	2.61382	501	8.1.1.8	37
r	UAV	83548	2.61496	501	8.1.1.10	39
t	lte	96377	3	500	7.0.0.2
t	lte	96378	3	500	7.0.0.3
t	lte	96379	3	500	7.0.0.4
t	lte	96380	3	500	7.0.0.5
t	lte	96381	3	500	7.0.0.6
t	lte	96382	3	500	7.0.0.7
t	lte	96383	3	500	7.0.0.8
t	lte	96384	3	500	7.0.0.9
t	lte	96385	3	500	7.0.0.10
t	lte	96386	3	500	7.0.0.11
r	LTE	96386	3.014	500	7.0.0.11	39
r	LTE	96385	3.015	500	7.0.0.10	38
t	uav	99595	3.1	501	8.1.1.1
t	uav	99596	3.1	501	8.1.1.2
t	uav	99597	3.1	501	8.1.1.3
t	uav	99598	3.1	501	8.1.1.4
t	uav	99599	3.1	501	8.1.1.5
t	uav	99600	3.1	501	8.1.1.6
t	uav	99601	3.1	501	8.1.1.7
t	uav	99602	3.1	501	8.1.1.8
t	uav	99603	3.1	501	8.1.1.9
t	uav	99604	3.1	501	8.1.1.10
r	UAV	99595	3.11262	501	8.1.1.1	30
r	UAV	99598	3.11359	501	8.1.1.4	33
r	UAV	99600	3.11471	501	8.1.1.6	35
r	UAV	99602	3.1158	501	8.1.1.8	37
r	UAV	99604	3.11685	501	8.1.1.10	39
t	lte	112441	3.5	500	7.0.0.2
t	lte	112442	3.5	500	7.0.0.3
t	lte	112443	3.5	500	7.0.0.4
t	lte	112444	3.5	500	7.0.0.5
t	lte	112445	3.5	500	7.0.0.6
t	lte	112446	3.5	500	7.0.0.7
t	lte	112447	3.5	500	7.0.0.8
t	lte	112448	3.5	500	7.0.0.9
t	lte	112449	3.5	500	7.0.0.10
t	lte	112450	3.5	500	7.0.0.11
r	LTE	112450	3.514	500	7.0.0.11	39
r	LTE	112449	3.515	500	7.0.0.10	38
t	uav	115659	3.6	501	8.1.1.1
t	uav	115660	3.6	501	8.1.1.2
t	uav	115661	3.6	501	8.1.1.3
t	uav	115662	3.6	501	8.1.1.4
t	uav	115663	3.6	501	8.1.1.5
t	uav	115664	3.6	501	8.1.1.6
t	uav	115665	3.6	501	8.1.1.7
t	uav	115666	3.6	501	8.1.1.8
t	uav	115667	3.6	501	8.1.1.9
t	uav	115668	3.6	501	8.1.1.10
r	UAV	115659	3.6108	501	8.1.1.1	30
r	UAV	115662	3.61195	501	8.1.1.4	33
r	UAV	115664	3.61306	501	8.1.1.6	35
r	UAV	115666	3.61417	501	8.1.1.8	37
r	UAV	115668	3.61532	501	8.1.1.10	39
t	lte	128497	4	500	7.0.0.2
t	lte	128498	4	500	7.0.0.3
t	lte	128499	4	500	7.0.0.4
t	lte	128500	4	500	7.0.0.5
t	lte	128501	4	500	7.0.0.6
t	lte	128502	4	500	7.0.0.7
t	lte	128503	4	500	7.0.0.8
t	lte	128504	4	500	7.0.0.9
t	lte	128505	4	500	7.0.0.10
t	lte	128506	4	500	7.0.0.11
r	LTE	128506	4.014	500	7.0.0.11	39
r	LTE	128505	4.015	500	7.0.0.10	38
t	uav	131714	4.1	501	8.1.1.1
t	uav	131715	4.1	501	8.1.1.2
t	uav	131716	4.1	501	8.1.1.3
t	uav	131717	4.1	501	8.1.1.4
t	uav	131718	4.1	501	8.1.1.5
t	uav	131719	4.1	501	8.1.1.6
t	uav	131720	4.1	501	8.1.1.7
t	uav	131721	4.1	501	8.1.1.8
t	uav	131722	4.1	501	8.1.1.9
t	uav	131723	4.1	501	8.1.1.10
r	UAV	131714	4.1108	501	8.1.1.1	30
r	UAV	131717	4.11186	501	8.1.1.4	33
r	UAV	131719	4.11289	501	8.1.1.6	35
r	UAV	131721	4.11401	501	8.1.1.8	37
