                            Time;          Lat(deg);          Lon(deg);           Alt(km)
  20 Jun 2018 16:00:00.000000000;      4.347692e+01;     -8.054005e+01;      8.000000e-01
  20 Jun 2018 16:00:00.100000000;      4.347692e+01;     -8.054004e+01;      8.000000e-01
  20 Jun 2018 16:00:00.200000000;      4.347692e+01;     -8.054004e+01;      8.000000e-01
  20 Jun 2018 16:00:00.300000000;      4.347693e+01;     -8.054003e+01;      8.000000e-01
  20 Jun 2018 16:00:00.400000000;      4.347693e+01;     -8.054003e+01;      8.000000e-01
  20 Jun 2018 16:00:00.500000000;      4.347693e+01;     -8.054002e+01;      8.000000e-01
  20 Jun 2018 16:00:00.600000000;      4.347693e+01;     -8.054002e+01;      8.000000e-01
  20 Jun 2018 16:00:00.700000000;      4.347693e+01;     -8.054001e+01;      8.000000e-01
  20 Jun 2018 16:00:00.800000000;      4.347693e+01;     -8.054001e+01;      8.000000e-01
  20 Jun 2018 16:00:00.900000000;      4.347694e+01;     -8.054000e+01;      8.000000e-01
  20 Jun 2018 16:00:01.000000000;      4.347694e+01;     -8.054000e+01;      8.000000e-01
  20 Jun 2018 16:00:01.100000000;      4.347694e+01;     -8.053999e+01;      8.000000e-01
  20 Jun 2018 16:00:01.200000000;      4.347694e+01;     -8.053999e+01;      8.000000e-01
  20 Jun 2018 16:00:01.300000000;      4.347694e+01;     -8.053998e+01;      8.000000e-01
  20 Jun 2018 16:00:01.400000000;      4.347694e+01;     -8.053998e+01;      8.000000e-01
  20 Jun 2018 16:00:01.500000000;      4.347694e+01;     -8.053997e+01;      8.000000e-01
  20 Jun 2018 16:00:01.600000000;      4.347695e+01;     -8.053997e+01;      8.000000e-01
  20 Jun 2018 16:00:01.700000000;      4.347695e+01;     -8.053997e+01;      8.000000e-01
  20 Jun 2018 16:00:01.800000000;      4.347695e+01;     -8.053996e+01;      8.000000e-01
  20 Jun 2018 16:00:01.900000000;      4.347695e+01;     -8.053996e+01;      8.000000e-01
  20 Jun 2018 16:00:02.000000000;      4.347695e+01;     -8.053995e+01;      8.000000e-01
  20 Jun 2018 16:00:02.100000000;      4.347695e+01;     -8.053995e+01;      8.000000e-01
  20 Jun 2018 16:00:02.200000000;      4.347695e+01;     -8.053994e+01;      8.000000e-01
  20 Jun 2018 16:00:02.300000000;      4.347696e+01;     -8.053994e+01;      8.000000e-01
  20 Jun 2018 16:00:02.400000000;      4.347696e+01;     -8.053994e+01;      8.000000e-01
